image,ground_truth,prediction,CER
test060_1.jpg,L1846JE,1846JE,0.07692307692307687
test060_2.jpg,M1457ITA,M1467TA,0.19999999999999996
test061_1.jpg,AA1971KJ,1971KJ,0.1428571428571429
test061_2.jpg,BD1146DH,BD1146DH,0.0
test062_1.jpg,B9654PEU,B965PEU,0.06666666666666665
test062_2.jpg,AE7244S,AE7245S,0.1428571428571429
test063_1.jpg,S1208BI,S1208BI,0.0
test064_1.jpg,AE8137G,AE8137G,0.0
test065_1.jpg,H1706SW,1706SW,0.07692307692307687
test066_1.jpg,T1220HS,1220HS,0.07692307692307687
test066_2.jpg,H1790ZY,H1709ZY,0.1428571428571429
test067_1.jpg,L1855BR,1855BR,0.07692307692307687
test067_2.jpg,AB1274EV,AB1274EV,0.0
test068_1.jpg,B2310UZS,2310UZS,0.06666666666666665
test068_2.jpg,G1264CM,G1264CM,0.0
test069_1.jpg,AA1138AK,AA1138AK,0.0
test070_1.jpg,B2160TOB,B2160TOB,0.0
test070_2.jpg,B2597BYK,25697BYK,0.125
test071_1.jpg,G9545AG,G9455AG,0.1428571428571429
test072_1.jpg,BG1870IB,1870LB,0.2857142857142857
test073_1.jpg,T1187HB,11087HB,0.1428571428571429
test073_2.jpg,A1330FP,A1330FP,0.0
test074_1.jpg,G1368GE,1368GE,0.07692307692307687
test074_2.jpg,B1081CMR,B1018CMR,0.125
test075_1.jpg,G2474XZ,6214XL2,0.5714285714285714
test075_2.jpg,G9173BP,91073BP,0.1428571428571429
test075_3.jpg,7066OF,70002003,0.7142857142857143
test076_1.jpg,G2151ASF,G2151ASF,0.0
test076_2.jpg,E500MA,500MA,0.09090909090909094
test076_3.jpg,G4689SN,G4089SN,0.1428571428571429
test077_1.jpg,G1754QZ,G1764OZ,0.2857142857142857
test078_1.jpg,H1413DH,H14DH,0.16666666666666663
test079_1.jpg,T1688GY,1688GY,0.07692307692307687
test079_2.jpg,A1260AJ,A126CAJ,0.1428571428571429
test080_1.jpg,D77HSB,77HSB,0.09090909090909094
test080_2.jpg,B1861TOI,B1861TOU,0.125
test080_3.jpg,D1160ADE,1160ADE,0.06666666666666665
test081_1.jpg,F8097BD,8097BD,0.07692307692307687
test081_2.jpg,F1992AM,FW1992AM,0.06666666666666665
test082_1.jpg,E1824YZ,1824YZ,0.07692307692307687
test082_2.jpg,B9093UEX,B9093EX,0.06666666666666665
test083_1.jpg,F5052AAE,F502AAE,0.06666666666666665
test083_2.jpg,F5452CQ,F542CO,0.23076923076923073
test084_1.jpg,B1158PYP,1168PYB,0.33333333333333337
test084_2.jpg,B1242VOY,B1262VOY,0.125
test085_1.jpg,B1315KIF,B1315KIF,0.0
test085_2.jpg,B2938FVJ,D2038FVJ,0.25
test085_3.jpg,B2560SKZ,B2560SKZ,0.0
test086_1.jpg,B1291NOJ,B1291NOJ,0.0
test086_2.jpg,B1556NRC,1566NRC,0.19999999999999996
test087_1.jpg,B6823WXR,B.6832WWR,0.2941176470588235
test087_2.jpg,B6317NXK,63317NWX,0.25
test087_3.jpg,F2215FCQ,F2215FCO,0.125
test087_4.jpg,4039NHR,4037NHR,0.1428571428571429
test088_1.jpg,B2190TYB,2190TYB,0.06666666666666665
test088_2.jpg,B1902VKA,1902VKA,0.06666666666666665
test089_1.jpg,D8609N,D8089,0.2727272727272727
test089_2.jpg,A8406ZE,A8406ZE,0.0
test089_3.jpg,B1246KRK,B126KRK,0.06666666666666665
test090_1.jpg,T9314E,9314,0.19999999999999996
test090_2.jpg,N9579U,N579U,0.09090909090909094
test091_1.jpg,B2910KZW,B2910KZW,0.0
test091_2.jpg,B9721KXV,B9721KVV,0.125
test092_1.jpg,B1104AAA,B1104AA,0.06666666666666665
test092_2.jpg,T1579FN,1679FN,0.23076923076923073
test092_3.jpg,B2346POC,B2346POC,0.0
test093_1.jpg,B2026BIU,2026BJU,0.19999999999999996
test094_1.jpg,G1255EJ,G1255EJ,0.0
test095_1.jpg,B1201KAD,B1201KAD,0.0
test095_2.jpg,B2310JUK,B2310JUK,0.0
test095_3.jpg,B28YHH,B28YHH,0.0
test096_1.jpg,B1354COJ,B1364COJ,0.125
test096_2.jpg,B1502NRO,B1502NRO,0.0
test097_1.jpg,B1650NOG,1650NOG,0.06666666666666665
test097_2.jpg,B6354SVL,F3454SLV,0.375
test098_1.jpg,B1779DOB,1779DOB,0.06666666666666665
test099_1.jpg,B2017PBQ,BPBO,0.5
test099_2.jpg,B1892WZT,1892WZT,0.06666666666666665
test100_1.jpg,B1071PRG,B1071PRG,0.0
test100_2.jpg,B2134PZJ,B2136PZN,0.25

Average CER,,,0.1323
